organism,drug_name,month,seasonal_deviate,sem
E. coli,Amoxicillin/Clavulanate,1,-0.010102908407277969,0.013138762746702648
E. coli,Amoxicillin/Clavulanate,2,0.004882281649938129,0.013997855485031427
E. coli,Amoxicillin/Clavulanate,3,0.027220704710450974,0.013157604580124809
E. coli,Amoxicillin/Clavulanate,4,0.011016291364841039,0.013466884108060503
E. coli,Amoxicillin/Clavulanate,5,-0.008714675014713548,0.012774909629447585
E. coli,Amoxicillin/Clavulanate,6,-0.02092012433393047,0.012460923147660884
E. coli,Amoxicillin/Clavulanate,7,0.002212152608095392,0.012471346818518846
E. coli,Amoxicillin/Clavulanate,8,0.0021940497833305445,0.01245124530656969
E. coli,Amoxicillin/Clavulanate,9,0.003882897142973597,0.012498788107600984
E. coli,Amoxicillin/Clavulanate,10,-0.008315088082520699,0.012138463170259043
E. coli,Amoxicillin/Clavulanate,11,-0.006290285042237452,0.01282930837223948
E. coli,Amoxicillin/Clavulanate,12,0.006109789017494245,0.012967987486471006
E. coli,Ampicillin,1,-0.037673957851438414,0.01783699669035117
E. coli,Ampicillin,2,-0.005695830579792121,0.01882160725663059
E. coli,Ampicillin,3,0.02079026443537546,0.01763600576486481
E. coli,Ampicillin,4,0.019713123130478263,0.017792969905715352
E. coli,Ampicillin,5,0.017256686901973656,0.01739452205105116
E. coli,Ampicillin,6,-0.0046548836877370854,0.017282223363930482
E. coli,Ampicillin,7,-0.027761003965452925,0.016835916765218496
E. coli,Ampicillin,8,-0.05305130116713435,0.01641813925461087
E. coli,Ampicillin,9,-0.011872954775736478,0.016619359855848576
E. coli,Ampicillin,10,0.03383078438897934,0.016351695184170654
E. coli,Ampicillin,11,0.03457512555101736,0.01724234608562387
E. coli,Ampicillin,12,0.020490610211034082,0.01738481586236969
E. coli,Ciprofloxacin,1,0.02128764785778612,0.016045364774392706
E. coli,Ciprofloxacin,2,0.035866857677942586,0.017017436630116105
E. coli,Ciprofloxacin,3,0.0554100732825019,0.016215997308931994
E. coli,Ciprofloxacin,4,0.041788367018867824,0.016293874313852312
E. coli,Ciprofloxacin,5,0.04476293671307834,0.01602515257907573
E. coli,Ciprofloxacin,6,-0.004572514512648205,0.015557491112169489
E. coli,Ciprofloxacin,7,-0.009221666181671995,0.015316908175887736
E. coli,Ciprofloxacin,8,-0.06201863912823094,0.014765375422038257
E. coli,Ciprofloxacin,9,-0.06077809274181426,0.01492205881836057
E. coli,Ciprofloxacin,10,-0.023214593203278382,0.01496083081691798
E. coli,Ciprofloxacin,11,-0.02301376406531788,0.01590349975975963
E. coli,Ciprofloxacin,12,-0.01778265930079839,0.015990830122334057
E. coli,Nitrofurantoin,1,0.03320687889848476,0.007161314963943405
E. coli,Nitrofurantoin,2,0.018169693336894503,0.007461621175100346
E. coli,Nitrofurantoin,3,0.020654787754900605,0.007070431233994079
E. coli,Nitrofurantoin,4,0.0032471945025735055,0.006991522042798416
E. coli,Nitrofurantoin,5,0.027261281656232515,0.007276169915468542
E. coli,Nitrofurantoin,6,-0.003999581930769374,0.006913580437184639
E. coli,Nitrofurantoin,7,-0.021134858970220053,0.006614603485341575
E. coli,Nitrofurantoin,8,-0.02592808551652408,0.006438048123591728
E. coli,Nitrofurantoin,9,-0.03594989883461514,0.0064906416027811584
E. coli,Nitrofurantoin,10,-0.022908530404571772,0.006735926308153196
E. coli,Nitrofurantoin,11,-0.0068304072770940995,0.007188336985839237
E. coli,Nitrofurantoin,12,0.013495755341831051,0.007181530502946351
E. coli,Tetracycline,1,-0.02857577168243999,0.01969768147175577
E. coli,Tetracycline,2,0.03831203983880757,0.02099540185155539
E. coli,Tetracycline,3,-0.005392772156516363,0.019824611767031357
E. coli,Tetracycline,4,-0.022853672319165023,0.01987655272147306
E. coli,Tetracycline,5,0.025452227219585306,0.019242159426461816
E. coli,Tetracycline,6,0.01959433316374011,0.01894740452410564
E. coli,Tetracycline,7,-0.034602483238511686,0.01833178833006063
E. coli,Tetracycline,8,-0.02899836040653716,0.01785567983324738
E. coli,Tetracycline,9,0.007396184828879039,0.01811201755609608
E. coli,Tetracycline,10,0.021375455370587344,0.017967435626514122
E. coli,Tetracycline,11,-0.0037437643061627485,0.018960600425330362
E. coli,Tetracycline,12,0.016305147303651166,0.0190669607089773
