organism,drug_name,month,seasonal_deviate,sem
E. coli,Ampicillin,1,0.009793603772133005,0.017836958634999744
E. coli,Ampicillin,2,0.0330454820787982,0.01882165905580978
E. coli,Ampicillin,3,0.0507760584612683,0.017635961053966195
E. coli,Ampicillin,4,0.04093932230259369,0.01779298470514241
E. coli,Ampicillin,5,0.029732489621193084,0.017394517529397184
E. coli,Ampicillin,6,-9.226055338240039e-4,0.017282255249321074
E. coli,Ampicillin,7,-0.03277271461211741,0.01683586329135229
E. coli,Ampicillin,8,-0.06680800128318976,0.016418184015420986
E. coli,Ampicillin,9,-0.03438253216725435,0.016619308121497877
E. coli,Ampicillin,10,0.0025754732893033803,0.016351662688796245
E. coli,Ampicillin,11,-0.005444796669049156,0.017242409725882733
E. coli,Ampicillin,12,-0.028203097309196238,0.017384853524006205
