org,drug_code,drug_name,drug_class,period,month,seasonal_deviate,sem
S. aureus,TET,Tetracycline,Tetracyclines,12,8,0.004993056258435744,0.014938821303132819
S. aureus,TET,Tetracycline,Tetracyclines,12,9,0.01461733067049259,0.015366806333305928
S. aureus,TET,Tetracycline,Tetracyclines,12,10,0.01780757876136137,0.015634033067616834
S. aureus,TET,Tetracycline,Tetracyclines,12,11,0.00933850182280271,0.015868809859296062
S. aureus,TET,Tetracycline,Tetracyclines,12,12,0.006140088974214243,0.015649167433919104
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1,-0.005893992295220063,0.01304320271295397
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,2,0.004025854455551937,0.013907148231630691
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,3,0.027722148327675607,0.013087832036809067
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,4,0.010403002517371428,0.013366251348397917
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,5,-0.01254327763611835,0.012702208277224751
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,6,-0.02220635743532109,0.012372129799305603
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,7,0.0026796634405008165,0.012355902156405358
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,8,0.004256819368896457,0.012244233090377263
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,9,0.006682939882003888,0.012345316239089583
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,10,-0.009127859715482814,0.011989727998779337
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,11,-0.005232581933150255,0.012600978433436973
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,12,0.0020833338402876044,0.01279571981017515
E. coli,AMP,Ampicillin,Penicillins,6,1,-0.03669904487829053,0.017702051202092246
E. coli,AMP,Ampicillin,Penicillins,6,2,-0.00419671138370913,0.018699354955154218
E. coli,AMP,Ampicillin,Penicillins,6,3,0.021001997409451127,0.017511057386565464
E. coli,AMP,Ampicillin,Penicillins,6,4,0.019165661913064024,0.017646176490028587
E. coli,AMP,Ampicillin,Penicillins,6,5,0.01563362420945542,0.017282653224341814
E. coli,AMP,Ampicillin,Penicillins,6,6,-0.0044875115620589085,0.0171364273593104
E. coli,AMP,Ampicillin,Penicillins,6,7,-0.02754834527451285,0.016649570272672193
E. coli,AMP,Ampicillin,Penicillins,6,8,-0.052421234148097934,0.016137731377740588
E. coli,AMP,Ampicillin,Penicillins,6,9,-0.010470108226701134,0.016368577665868047
E. coli,AMP,Ampicillin,Penicillins,6,10,0.03321075713470517,0.016125536638151385
E. coli,AMP,Ampicillin,Penicillins,6,11,0.031931823684347896,0.016939636458463102
E. coli,AMP,Ampicillin,Penicillins,6,12,0.020977093631272845,0.01710435467745267
E. coli,CIP,Ciprofloxacin,Quinolones,12,1,0.020452326767614718,0.015968664674310244
E. coli,CIP,Ciprofloxacin,Quinolones,12,2,0.03128015696538026,0.016948289975646166
E. coli,CIP,Ciprofloxacin,Quinolones,12,3,0.051411583050494786,0.016130079964978096
E. coli,CIP,Ciprofloxacin,Quinolones,12,4,0.03888419870593302,0.016213140183584565
E. coli,CIP,Ciprofloxacin,Quinolones,12,5,0.04007295229070239,0.01595728861894895
E. coli,CIP,Ciprofloxacin,Quinolones,12,6,-0.004660882273078467,0.015493928934090531
E. coli,CIP,Ciprofloxacin,Quinolones,12,7,-0.00821819661874772,0.0152155219723663
E. coli,CIP,Ciprofloxacin,Quinolones,12,8,-0.054573608387892505,0.014606342728068959
E. coli,CIP,Ciprofloxacin,Quinolones,12,9,-0.058009157105030705,0.014765951266952747
E. coli,CIP,Ciprofloxacin,Quinolones,12,10,-0.022520744334318228,0.014808928009528799
E. coli,CIP,Ciprofloxacin,Quinolones,12,11,-0.01856510126940981,0.01567976637781046
E. coli,CIP,Ciprofloxacin,Quinolones,12,12,-0.01680158718925011,0.01581980453205583
E. coli,NIT,Nitrofurantoin,Nitrofurans,12,1,0.03343097509951872,0.007167980155268244
