year,month,drug_class,mean_daily_claims_per_10000ppl
2011,1,Macrolides,5.54112296507345
2011,1,Nitrofurans,0.36026709234344606
2011,1,Penicillins,6.220432557104127
2011,1,Quinolones,2.081841929138869
2011,1,Tetracyclines,1.0646699146866017
2011,2,Macrolides,5.5335923782133065
2011,2,Nitrofurans,0.32487605103238604
2011,2,Penicillins,6.63953270762595
2011,2,Quinolones,2.0260982464085635
2011,2,Tetracyclines,1.0563335072490156
2011,3,Macrolides,5.532655165668911
2011,3,Nitrofurans,0.3397939369845982
2011,3,Penicillins,6.846055564583471
2011,3,Quinolones,2.083658675757886
2011,3,Tetracyclines,1.132939888339839
2011,4,Macrolides,4.974273185816034
2011,4,Nitrofurans,0.3512316644397855
2011,4,Penicillins,6.07051428281753
2011,4,Quinolones,1.8720285620141144
2011,4,Tetracyclines,1.1279243657009606
2011,5,Macrolides,4.911285924284154
2011,5,Nitrofurans,0.3701536651570784
2011,5,Penicillins,5.468693796520695
2011,5,Quinolones,1.9901202938445273
2011,5,Tetracyclines,1.154008485489715
2011,6,Macrolides,4.5980185653460115
2011,6,Nitrofurans,0.38715406565916366
2011,6,Penicillins,5.027588111392077
2011,6,Quinolones,2.0864806522237442
2011,6,Tetracyclines,1.2381710444857168
2011,7,Macrolides,3.5779741235551388
2011,7,Nitrofurans,0.3837272831925623
2011,7,Penicillins,3.8555455596966968
2011,7,Quinolones,1.9647533003374278
2011,7,Tetracyclines,1.0667792498732003
2011,8,Macrolides,3.928656448149564
2011,8,Nitrofurans,0.435239579484257
2011,8,Penicillins,4.139199171558615
2011,8,Quinolones,2.120466000048301
2011,8,Tetracyclines,1.1597542453330507
2011,9,Macrolides,4.081906680093991
2011,9,Nitrofurans,0.4690612062213271
2011,9,Penicillins,4.185744657043751
2011,9,Quinolones,1.9281638133601882
2011,9,Tetracyclines,1.0768714333669016
2011,10,Macrolides,4.619643588021048
2011,10,Nitrofurans,0.4688722370645662
2011,10,Penicillins,4.900276142433542
2011,10,Quinolones,1.8366321330319195
2011,10,Tetracyclines,1.123393702432782
2011,11,Macrolides,5.348504734851005
2011,11,Nitrofurans,0.4854209540340966
2011,11,Penicillins,5.500254246989636
2011,11,Quinolones,1.9328095756604433
2011,11,Tetracyclines,1.1953601921095578
2011,12,Macrolides,5.593898893493863
2011,12,Nitrofurans,0.4691601801197705
2011,12,Penicillins,5.824619347702672
2011,12,Quinolones,1.8166019405734442
2011,12,Tetracyclines,1.0446747703580996
2012,1,Macrolides,5.566465113746902
2012,1,Nitrofurans,0.4441961023023542
2012,1,Penicillins,5.790686473226484
2012,1,Quinolones,1.8880457656178458
2012,1,Tetracyclines,1.0777913074984464
2012,2,Macrolides,5.572808202875215
2012,2,Nitrofurans,0.4868629091047468
2012,2,Penicillins,6.254602813134928
2012,2,Quinolones,1.9782303260750345
2012,2,Tetracyclines,1.1322827043164034
2012,3,Macrolides,4.733873747418691
2012,3,Nitrofurans,0.5070804263249203
2012,3,Penicillins,5.625054961790395
2012,3,Quinolones,1.8278480483805266
2012,3,Tetracyclines,1.0444845990745866
2012,4,Macrolides,4.353292226152097
2012,4,Nitrofurans,0.49297317599924884
2012,4,Penicillins,5.094056151992238
2012,4,Quinolones,1.7067131296058649
2012,4,Tetracyclines,1.0398517081042356
2012,5,Macrolides,4.233137674063953
2012,5,Nitrofurans,0.5126261150140663
2012,5,Penicillins,4.89963524937588
2012,5,Quinolones,1.7226913489869111
2012,5,Tetracyclines,1.0938253808130483
2012,6,Macrolides,3.877787078477461
2012,6,Nitrofurans,0.5468120340111902
2012,6,Penicillins,4.527396319514451
2012,6,Quinolones,1.9661045646279132
2012,6,Tetracyclines,1.0720280161262037
2012,7,Macrolides,3.6248279958032987
2012,7,Nitrofurans,0.6219360784691966
2012,7,Penicillins,4.0690680518527245
2012,7,Quinolones,2.0170207160244136
2012,7,Tetracyclines,1.0439641317161514
2012,8,Macrolides,3.8927150433107807
2012,8,Nitrofurans,0.6427305060399798
2012,8,Penicillins,4.2508448272953725
2012,8,Quinolones,2.0700593552539326
2012,8,Tetracyclines,1.130617458134931
2012,9,Macrolides,3.847581408235706
2012,9,Nitrofurans,0.5898579287535265
2012,9,Penicillins,4.106352168708081
2012,9,Quinolones,1.7146830188876516
2012,9,Tetracyclines,0.9758358644076066
2012,10,Macrolides,4.480893336428663
2012,10,Nitrofurans,0.6433672531779486
2012,10,Penicillins,4.894966516346064
2012,10,Quinolones,1.830153060933094
2012,10,Tetracyclines,1.0742385337005176
2012,11,Macrolides,4.846855758781095
2012,11,Nitrofurans,0.5895641109968813
2012,11,Penicillins,5.46749499129465
2012,11,Quinolones,1.7635131460711984
2012,11,Tetracyclines,1.119567572420139
2012,12,Macrolides,5.583973403692716
2012,12,Nitrofurans,0.5276130530316967
2012,12,Penicillins,6.253984363392873
2012,12,Quinolones,1.8890358138966363
2012,12,Tetracyclines,1.048641231766586
2013,1,Macrolides,5.635395313588923
2013,1,Nitrofurans,0.6076426251174143
2013,1,Penicillins,6.290407928298824
2013,1,Quinolones,2.0148580055976626
2013,1,Tetracyclines,1.1532142293895014
2013,2,Macrolides,4.485096562334948
2013,2,Nitrofurans,0.5857536110409443
2013,2,Penicillins,5.527433003421591
2013,2,Quinolones,1.746496601373229
2013,2,Tetracyclines,1.0208079775874344
2013,3,Macrolides,4.438989935750907
2013,3,Nitrofurans,0.6027757824783126
2013,3,Penicillins,5.787943803797131
2013,3,Quinolones,1.722448002081845
2013,3,Tetracyclines,1.0864547369669586
2013,4,Macrolides,4.390142542492623
