year,month,drug_class,claims_per_1000ppl
2011,1,Macrolides,17.177481191727693
2011,1,Nitrofurans,1.1168279862646826
2011,1,Penicillins,19.283340927022792
2011,1,Quinolones,6.453709980330492
2011,1,Tetracyclines,3.300476735528465
2011,2,Macrolides,15.494058658997258
2011,2,Nitrofurans,0.909652942890681
2011,2,Penicillins,18.59069158135266
2011,2,Quinolones,5.6730750899439775
2011,2,Tetracyclines,2.957733820297244
2011,3,Macrolides,17.151231013573625
2011,3,Nitrofurans,1.0533612046522545
2011,3,Penicillins,21.22277225020876
2011,3,Quinolones,6.459341894849445
2011,3,Tetracyclines,3.512113653853501
2011,4,Macrolides,14.922819557448104
2011,4,Nitrofurans,1.0536949933193565
2011,4,Penicillins,18.21154284845259
2011,4,Quinolones,5.616085686042344
2011,4,Tetracyclines,3.383773097102882
2011,5,Macrolides,15.224986365280875
2011,5,Nitrofurans,1.1474763619869432
2011,5,Penicillins,16.952950769214155
2011,5,Quinolones,6.169372910918034
2011,5,Tetracyclines,3.5774263050181165
2011,6,Macrolides,13.794055696038034
2011,6,Nitrofurans,1.161462196977491
2011,6,Penicillins,15.082764334176229
2011,6,Quinolones,6.259441956671233
2011,6,Tetracyclines,3.7145131334571504
2011,7,Macrolides,11.09171978302093
2011,7,Nitrofurans,1.189554577896943
2011,7,Penicillins,11.952191235059761
2011,7,Quinolones,6.090735231046026
2011,7,Tetracyclines,3.3070156746069213
2011,8,Macrolides,12.178834989263647
2011,8,Nitrofurans,1.3492426964011968
2011,8,Penicillins,12.831517431831706
2011,8,Quinolones,6.573444600149733
2011,8,Tetracyclines,3.5952381605324573
2011,9,Macrolides,12.245720040281974
2011,9,Nitrofurans,1.4071836186639812
2011,9,Penicillins,12.557233971131252
2011,9,Quinolones,5.784491440080564
2011,9,Tetracyclines,3.230614300100705
2011,10,Macrolides,14.320895122865249
2011,10,Nitrofurans,1.4535039349001553
2011,10,Penicillins,15.190856041543979
2011,10,Quinolones,5.693559612398951
2011,10,Tetracyclines,3.482520477541624
2011,11,Macrolides,16.04551420455302
2011,11,Nitrofurans,1.4562628621022897
2011,11,Penicillins,16.500762740968906
2011,11,Quinolones,5.79842872698133
2011,11,Tetracyclines,3.586080576328673
2011,12,Macrolides,17.341086569830978
2011,12,Nitrofurans,1.4543965583712886
2011,12,Penicillins,18.05631997787828
2011,12,Quinolones,5.631466015777677
